player_name,first_name,middle_name,last_name,nick_name,suffix,player_url
Bill Travers,Bill,,Travers,,,https://www.baseball-almanac.com/players/player.php?p=travebi01
Bill Virdon,Bill,,Virdon,,,https://www.baseball-almanac.com/players/player.php?p=virdobi01
Bill Voss,Bill,,Voss,,,https://www.baseball-almanac.com/players/player.php?p=vossbi01
Bill Wegman,Bill,,Wegman,,,https://www.baseball-almanac.com/players/player.php?p=wegmabi01
Bill Wilkinson,Bill,,Wilkinson,,,https://www.baseball-almanac.com/players/player.php?p=wilkibi01
Bill Wilson,Bill,,Wilson,,,https://www.baseball-almanac.com/players/player.php?p=wilsobi03
Bill Zepp,Bill,,Zepp,,,https://www.baseball-almanac.com/players/player.php?p=zeppbi01
Billy Beane,Billy,,Beane,,,https://www.baseball-almanac.com/players/player.php?p=beanebi01
Billy Campbell,Billy,,Campbell,,,https://www.baseball-almanac.com/players/player.php?p=campbbi01
Billy Conigliaro,Billy,,Conigliaro,,,https://www.baseball-almanac.com/players/player.php?p=conigbi01
Billy Cowan,Billy,,Cowan,,,https://www.baseball-almanac.com/players/player.php?p=cowanbi01
Billy Gardner,Billy,,Gardner,,,https://www.baseball-almanac.com/players/player.php?p=gardnbi02
Billy Grabarkewitz,Billy,,Grabarkewitz,,,https://www.baseball-almanac.com/players/player.php?p=grababi01
Billy Harris,Billy,,Harris,,,https://www.baseball-almanac.com/players/player.php?p=harribi04
Billy Hatcher,Billy,,Hatcher,,,https://www.baseball-almanac.com/players/player.php?p=hatchbi01
Billy Hunter,Billy,,Hunter,,,https://www.baseball-almanac.com/players/player.php?p=huntebi03
Billy Jo Robidoux,Billy,Jo,Robidoux,,,https://www.baseball-almanac.com/players/player.php?p=robidbi01
Billy Lee,Billy,,Lee,,,https://www.baseball-almanac.com/players/player.php?p=leebi01
Billy Martin,Billy,,Martin,,,https://www.baseball-almanac.com/players/player.php?p=martibi01
Billy McCool,Billy,,McCool,,,https://www.baseball-almanac.com/players/player.php?p=mccoobi01
Billy Ripken,Billy,,Ripken,,,https://www.baseball-almanac.com/players/player.php?p=ripkebi01
Billy Sample,Billy,,Sample,,,https://www.baseball-almanac.com/players/player.php?p=samplbi01
Billy Smith,Billy,,Smith,,,https://www.baseball-almanac.com/players/player.php?p=smithbi03
Billy Sorrell,Billy,,Sorrell,,,https://www.baseball-almanac.com/players/player.php?p=sorrebi01
Billy Williams,Billy,,Williams,,,https://www.baseball-almanac.com/players/player.php?p=willibi01
Billy Wynne,Billy,,Wynne,,,https://www.baseball-almanac.com/players/player.php?p=wynnebi02
Bip Roberts,Bip,,Roberts,,,https://www.baseball-almanac.com/players/player.php?p=roberbi01
Blue Moon Odom,Johnny,Lee,Odom,Blue Moon,,https://www.baseball-almanac.com/players/player.php?p=odombl01
Bo Diaz,Bo,,Diaz,,,https://www.baseball-almanac.com/players/player.php?p=diazbo01
Bo Jackson,Bo,,Jackson,,,https://www.baseball-almanac.com/players/player.php?p=jacksbo01
Bo McLaughlin,Bo,,McLaughlin,,,https://www.baseball-almanac.com/players/player.php?p=mclaubo01
Bob Allietta,Bob,,Allietta,,,https://www.baseball-almanac.com/players/player.php?p=alliebo01
Bob Allison,Bob,,Allison,,,https://www.baseball-almanac.com/players/player.php?p=allisbo01
Bob Apodaca,Bob,,Apodaca,,,https://www.baseball-almanac.com/players/player.php?p=apodabo01
Bob Aspromonte,Bob,,Aspromonte,,,https://www.baseball-almanac.com/players/player.php?p=asprobo01
Bob Babcock,Bob,,Babcock,,,https://www.baseball-almanac.com/players/player.php?p=babcobo01
Bob Bailey,Bob,,Bailey,,,https://www.baseball-almanac.com/players/player.php?p=bailebo01
Bob Bailor,Bob,,Bailor,,,https://www.baseball-almanac.com/players/player.php?p=bailobo01
Bob Barton,Bob,,Barton,,,https://www.baseball-almanac.com/players/player.php?p=bartobo01
Bob Beall,Bob,,Beall,,,https://www.baseball-almanac.com/players/player.php?p=beallbo01
Bob Boone,Bob,,Boone,,,https://www.baseball-almanac.com/players/player.php?p=boonebo01
Bob Brenly,Bob,,Brenly,,,https://www.baseball-almanac.com/players/player.php?p=brenlbo01
Bob Brower,Bob,,Brower,,,https://www.baseball-almanac.com/players/player.php?p=browebo01
Bob Burda,Bob,,Burda,,,https://www.baseball-almanac.com/players/player.php?p=burdabo01
Bob Christian,Bob,,Christian,,,https://www.baseball-almanac.com/players/player.php?p=chrisbo01
Bob Coluccio,Bob,,Coluccio,,,https://www.baseball-almanac.com/players/player.php?p=colucbo01
Bob Davis,Bob,,Davis,,,https://www.baseball-almanac.com/players/player.php?p=davisbo01
Bob Dernier,Bob,,Dernier,,,https://www.baseball-almanac.com/players/player.php?p=dernibo01
Bob Didier,Bob,,Didier,,,https://www.baseball-almanac.com/players/player.php?p=didiebo01
Bob Forsch,Bob,,Forsch,,,https://www.baseball-almanac.com/players/player.php?p=forscbo01
Bob Galasso,Bob,,Galasso,,,https://www.baseball-almanac.com/players/player.php?p=galasbo01
Bob Gallagher,Bob,,Gallagher,,,https://www.baseball-almanac.com/players/player.php?p=gallabo01
Bob Garibaldi,Bob,,Garibaldi,,,https://www.baseball-almanac.com/players/player.php?p=garibbo01
Bob Gibson,Bob,,Gibson,,,https://www.baseball-almanac.com/players/player.php?p=gibsobo01
Bob Gorinski,Bob,,Gorinski,,,https://www.baseball-almanac.com/players/player.php?p=gorinbo01
Bob Hansen,Bob,,Hansen,,,https://www.baseball-almanac.com/players/player.php?p=hansebo01
Bob Heise,Bob,,Heise,,,https://www.baseball-almanac.com/players/player.php?p=heisebo01
Bob Horner,Bob,,Horner,,,https://www.baseball-almanac.com/players/player.php?p=hornebo01
Bob Humphreys,Bob,,Humphreys,,,https://www.baseball-almanac.com/players/player.php?p=humphbo01
Bob James,Bob,,James,,,https://www.baseball-almanac.com/players/player.php?p=jamesbo01
Bob Johnson,Bob,,Johnson,,,https://www.baseball-almanac.com/players/player.php?p=johnsbo01
Bob Jones,Bob,,Jones,,,https://www.baseball-almanac.com/players/player.php?p=jonesbo02
Bob Kearney,Bob,,Kearney,,,https://www.baseball-almanac.com/players/player.php?p=kearnbo01
Bob Keegan,Bob,,Keegan,,,https://www.baseball-almanac.com/players/player.php?p=keegabo01
Bob Kipper,Bob,,Kipper,,,https://www.baseball-almanac.com/players/player.php?p=kippebo01
Bob Knepper,Bob,,Knepper,,,https://www.baseball-almanac.com/players/player.php?p=kneppbo01
Bob Lacey,Bob,,Lacey,,,https://www.baseball-almanac.com/players/player.php?p=laceybo01
Bob Lemon,Bob,,Lemon,,,https://www.baseball-almanac.com/players/player.php?p=lemonbo01
Bob Lillis,Bob,,Lillis,,,https://www.baseball-almanac.com/players/player.php?p=lillibo01
Bob Locker,Bob,,Locker,,,https://www.baseball-almanac.com/players/player.php?p=lockebo02
Bob McClure,Bob,,McClure,,,https://www.baseball-almanac.com/players/player.php?p=mcclubo01
