player_name,first_name,middle_name,last_name,nick_name,suffix,player_url,player_id
Barry Lersch,Barry,NULL,Lersch,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=lerscba01,92
Barry Lyons,Barry,NULL,Lyons,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=lyonsba01,93
Barry Moore,Barry,NULL,Moore,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=mooreba01,94
Bart Johnson,Bart,NULL,Johnson,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=johnsba01,95
Ben Hayes,Ben,NULL,Hayes,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=hayesbe01,96
Ben McDonald,Ben,NULL,McDonald,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=mcdonbe01,97
Ben Oglivie,Ben,NULL,Oglivie,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=oglivbe01,98
Benito Santiago,Benito,NULL,Santiago,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=santibe01,99
Benny Ayala,Benny,NULL,Ayala,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=ayalabe01,100
Benny Distefano,Benny,NULL,Distefano,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=distebe01,101
Bernie Allen,Bernie,NULL,Allen,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=allenbe01,102
Bernie Carbo,Bernie,NULL,Carbo,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=carbobe01,103
Bernie Williams,Bernie,NULL,Williams,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=willibe02,104
Bert Blyleven,Bert,NULL,Blyleven,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=blylebe01,105
Bert Campaneris,Bert,NULL,Campaneris,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=campabe01,106
Bert Roberge,Bert,NULL,Roberge,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=roberbe01,107
Biff Pocoroba,Biff,NULL,Pocoroba,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=pocorbi01,108
Bill Almon,Bill,NULL,Almon,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=almonbi01,109
Bill Atkinson,Bill,NULL,Atkinson,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=atkinbi01,110
Bill Bean,Bill,NULL,Bean,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=beanbi01,111
Bill Bonham,Bill,NULL,Bonham,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=bonhabi01,112
Bill Buckner,Bill,NULL,Buckner,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=bucknbi01,113
Bill Burbach,Bill,NULL,Burbach,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=burbabi01,114
Bill Butler,Bill,NULL,Butler,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=butlebi01,115
Bill Campbell,Bill,NULL,Campbell,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=campbbi02,116
Bill Castro,Bill,NULL,Castro,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=castrbi01,117
Bill Caudill,Bill,NULL,Caudill,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=caudibi01,118
Bill Champion,Bill,NULL,Champion,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=champbi01,119
Bill Dawley,Bill,NULL,Dawley,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=dawlebi01,120
Bill Dillman,Bill,NULL,Dillman,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=dillmbi01,121
Bill Doran,Bill,NULL,Doran,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=doranbi01,122
Bill Fahey,Bill,NULL,Fahey,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=faheybi01,123
Bill Freehan,Bill,NULL,Freehan,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=freehbi01,124
Bill Gardner,Bill,NULL,Gardner,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=gardnbi01,125
Bill Gogolewski,Bill,NULL,Gogolewski,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=gogolbi01,126
Bill Greif,Bill,NULL,Greif,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=greifbi01,127
Bill Gullickson,Bill,NULL,Gullickson,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=gullibi01,128
Bill Hands,Bill,NULL,Hands,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=handsbi01,129
Bill Heath,Bill,NULL,Heath,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=heathbi01,130
Bill Krueger,Bill,NULL,Krueger,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=kruegbi01,131
Bill Landrum,Bill,NULL,Landrum,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=landrbi01,132
Bill Laskey,Bill,NULL,Laskey,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=laskebi01,133
Bill Laxton,Bill,NULL,Laxton,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=laxtobi01,134
Bill Lee,Bill,NULL,Lee,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=leebi02,135
Bill Long,Bill,NULL,Long,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=longbi01,136
Bill Madlock,Bill,NULL,Madlock,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=madlobi01,137
Bill Mazeroski,Bill,NULL,Mazeroski,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=mazerbi01,138
Bill Melton,Bill,NULL,Melton,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=meltobi01,139
Bill Mooneyham,Bill,NULL,Mooneyham,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=moonebi01,140
Bill Nahorodny,Bill,NULL,Nahorodny,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=nahorbi01,141
Bill North,Bill,NULL,North,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=northbi01,142
Bill Parsons,Bill,NULL,Parsons,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=parsobi01,143
Bill Pecota,Bill,NULL,Pecota,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=pecotbi01,144
Bill Plummer,Bill,NULL,Plummer,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=plummbi01,145
Bill Rigney,Bill,NULL,Rigney,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=rignebi01,146
Bill Robinson,Bill,NULL,Robinson,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=robinbi02,147
Bill Russell,Bill,NULL,Russell,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=russebi01,148
Bill Scherrer,Bill,NULL,Scherrer,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=scherbi01,149
Bill Schroeder,Bill,NULL,Schroeder,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=schrobi01,150
Bill Sharp,Bill,NULL,Sharp,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=sharpbi01,151
Bill Singer,Bill,NULL,Singer,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=singebi01,152
Bill Stein,Bill,NULL,Stein,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=steinbi02,153
Bill Stoneman,Bill,NULL,Stoneman,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=stonebi01,154
Bill Sudakis,Bill,NULL,Sudakis,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=sudakbi01,155
Bill Swaggerty,Bill,NULL,Swaggerty,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=swaggbi01,156
Bill Swift,Bill,NULL,Swift,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=swiftbi02,157
Bill Travers,Bill,NULL,Travers,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=travebi01,158
Bill Virdon,Bill,NULL,Virdon,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=virdobi01,159
Bill Voss,Bill,NULL,Voss,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=vossbi01,160
Bill Wegman,Bill,NULL,Wegman,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=wegmabi01,161
Bill Wilkinson,Bill,NULL,Wilkinson,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=wilkibi01,162
Bill Wilson,Bill,NULL,Wilson,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=wilsobi03,163
Bill Zepp,Bill,NULL,Zepp,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=zeppbi01,164
Billy Beane,Billy,NULL,Beane,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=beanebi01,165
Billy Campbell,Billy,NULL,Campbell,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=campbbi01,166
Billy Conigliaro,Billy,NULL,Conigliaro,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=conigbi01,167
Billy Cowan,Billy,NULL,Cowan,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=cowanbi01,168
Billy Gardner,Billy,NULL,Gardner,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=gardnbi02,169
Billy Grabarkewitz,Billy,NULL,Grabarkewitz,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=grababi01,170
Billy Harris,Billy,NULL,Harris,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=harribi04,171
Billy Hatcher,Billy,NULL,Hatcher,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=hatchbi01,172
Billy Hunter,Billy,NULL,Hunter,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=huntebi03,173
Billy Jo Robidoux,Billy,Jo,Robidoux,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=robidbi01,174
Billy Lee,Billy,NULL,Lee,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=leebi01,175
Billy Martin,Billy,NULL,Martin,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=martibi01,176
Billy McCool,Billy,NULL,McCool,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=mccoobi01,177
Billy Ripken,Billy,NULL,Ripken,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=ripkebi01,178
Billy Sample,Billy,NULL,Sample,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=samplbi01,179
Billy Smith,Billy,NULL,Smith,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=smithbi03,180
Billy Sorrell,Billy,NULL,Sorrell,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=sorrebi01,181
Billy Williams,Billy,NULL,Williams,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=willibi01,182
Billy Wynne,Billy,NULL,Wynne,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=wynnebi02,183
