card_year,card_num,card_stat_year,card_desc,card_notes,card_player_url,card_player_id,,,
1970,377,1969,Bill Butler,,https://www.baseball-almanac.com/players/player.php?p=butlebi02,115,,Bill Butlerhttps://www.baseball-almanac.com/players/player.php?p=butlebi02,
1971,681,1970,Bill Butler,,https://www.baseball-almanac.com/players/player.php?p=butlebi01,115,,Bill Butlerhttps://www.baseball-almanac.com/players/player.php?p=butlebi01,
1974,26,1973,Bill Campbell,Rookie Card,https://www.baseball-almanac.com/players/player.php?p=campbbi02,116,,Bill Campbellhttps://www.baseball-almanac.com/players/player.php?p=campbbi02,
1976,293,1975,Bill Castro,,https://www.baseball-almanac.com/players/player.php?p=castrbi01,117,,Bill Castrohttps://www.baseball-almanac.com/players/player.php?p=castrbi01,
1980,103,1979,Bill Caudill,Rookie Card,https://www.baseball-almanac.com/players/player.php?p=caudibi01,118,,Bill Caudillhttps://www.baseball-almanac.com/players/player.php?p=caudibi01,
1970,149,1969,Bill Champion,,https://www.baseball-almanac.com/players/player.php?p=champbi01,119,,Bill Championhttps://www.baseball-almanac.com/players/player.php?p=champbi01,
1984,248,1983,Bill Dawley,,https://www.baseball-almanac.com/players/player.php?p=dawlebi01,120,,Bill Dawleyhttps://www.baseball-almanac.com/players/player.php?p=dawlebi01,
1970,386,1969,Bill Dillman,,https://www.baseball-almanac.com/players/player.php?p=dillmbi01,121,,Bill Dillmanhttps://www.baseball-almanac.com/players/player.php?p=dillmbi01,
1984,198,1983,Bill Doran,,https://www.baseball-almanac.com/players/player.php?p=doranbi01,122,,Bill Doranhttps://www.baseball-almanac.com/players/player.php?p=doranbi01,
1985,684,1984,Bill Doran,,https://www.baseball-almanac.com/players/player.php?p=doranbi02,122,,Bill Doranhttps://www.baseball-almanac.com/players/player.php?p=doranbi02,
1974,558,1973,Bill Fahey,,https://www.baseball-almanac.com/players/player.php?p=faheybi01,123,,Bill Faheyhttps://www.baseball-almanac.com/players/player.php?p=faheybi01,
1970,335,1969,Bill Freehan,,https://www.baseball-almanac.com/players/player.php?p=freehbi01,124,,Bill Freehanhttps://www.baseball-almanac.com/players/player.php?p=freehbi01,
1984,771,1983,Bill Gardner,,https://www.baseball-almanac.com/players/player.php?p=gardnbi01,125,,Bill Gardnerhttps://www.baseball-almanac.com/players/player.php?p=gardnbi01,
1972,424,1971,Bill Gogolewski,,https://www.baseball-almanac.com/players/player.php?p=gogolbi01,126,,Bill Gogolewskihttps://www.baseball-almanac.com/players/player.php?p=gogolbi01,
1974,102,1973,Bill Greif,,https://www.baseball-almanac.com/players/player.php?p=greifbi01,127,,Bill Greifhttps://www.baseball-almanac.com/players/player.php?p=greifbi01,
1981,203,1980,Bill Gullickson,Record Breaker,https://www.baseball-almanac.com/players/player.php?p=gullibi01,128,,Bill Gullicksonhttps://www.baseball-almanac.com/players/player.php?p=gullibi01,
1970,405,1969,Bill Hands,,https://www.baseball-almanac.com/players/player.php?p=handsbi01,129,,Bill Handshttps://www.baseball-almanac.com/players/player.php?p=handsbi01,
