card_desc,card_notes,card_player_url,dups,player_id
Bill Krueger,,https://www.baseball-almanac.com/players/player.php?p=kruegbi01,,131
Bill Landrum,,https://www.baseball-almanac.com/players/player.php?p=landrbi01,,132
Bill Laskey,Rookie Card,https://www.baseball-almanac.com/players/player.php?p=laskebi01,,133
Bill Laxton,,https://www.baseball-almanac.com/players/player.php?p=laxtobi01,,134
Bill Lee,,https://www.baseball-almanac.com/players/player.php?p=leebi03,DUP,135
Bill Lee,,https://www.baseball-almanac.com/players/player.php?p=leebi02,DUP,136
Bill Long,,https://www.baseball-almanac.com/players/player.php?p=longbi01,,137
Bill Madlock,,https://www.baseball-almanac.com/players/player.php?p=madlobi01,,138
Bill Mazeroski,,https://www.baseball-almanac.com/players/player.php?p=mazerbi01,,139
Bill Melton,,https://www.baseball-almanac.com/players/player.php?p=meltobi01,,140
Bill Mooneyham,Rookie Card,https://www.baseball-almanac.com/players/player.php?p=moonebi01,,141
Bill Nahorodny,,https://www.baseball-almanac.com/players/player.php?p=nahorbi01,,142
Bill North,,https://www.baseball-almanac.com/players/player.php?p=northbi01,,143
Bill Parsons,Rookie Card,https://www.baseball-almanac.com/players/player.php?p=parsobi01,,144
Bill Pecota,,https://www.baseball-almanac.com/players/player.php?p=pecotbi01,,145
Bill Plummer,,https://www.baseball-almanac.com/players/player.php?p=plummbi01,,146
Bill Rigney,,https://www.baseball-almanac.com/players/player.php?p=rignebi01,,147
Bill Robinson,,https://www.baseball-almanac.com/players/player.php?p=robinbi02,,148
Bill Russell,Rookie Card,https://www.baseball-almanac.com/players/player.php?p=russebi01,,149
Bill Scherrer,,https://www.baseball-almanac.com/players/player.php?p=scherbi01,,150
Bill Schroeder,,https://www.baseball-almanac.com/players/player.php?p=schrobi01,,151
Bill Sharp,,https://www.baseball-almanac.com/players/player.php?p=sharpbi01,,152
Bill Singer,,https://www.baseball-almanac.com/players/player.php?p=singebi01,,153
Bill Stein,Rookie Card,https://www.baseball-almanac.com/players/player.php?p=steinbi02,,154
Bill Stoneman,,https://www.baseball-almanac.com/players/player.php?p=stonebi01,,155
Bill Sudakis,,https://www.baseball-almanac.com/players/player.php?p=sudakbi01,,156
Bill Swaggerty,,https://www.baseball-almanac.com/players/player.php?p=swaggbi01,,157
Bill Swift,Team USA Baseball Card,https://www.baseball-almanac.com/players/player.php?p=swiftbi02,,158
Bill Travers,,https://www.baseball-almanac.com/players/player.php?p=travebi01,,159
Bill Voss,,https://www.baseball-almanac.com/players/player.php?p=vossbi01,,160
Bill Wegman,,https://www.baseball-almanac.com/players/player.php?p=wegmabi01,,161
Bill Wilkinson,,https://www.baseball-almanac.com/players/player.php?p=wilkibi01,,162
Bill Wilson,,https://www.baseball-almanac.com/players/player.php?p=wilsobi03,,163
Bill Zepp,,https://www.baseball-almanac.com/players/player.php?p=zeppbi01,,164
Billy Beane,,https://www.baseball-almanac.com/players/player.php?p=beanebi01,,165
Billy Campbell,,https://www.baseball-almanac.com/players/player.php?p=campbbi01,,166
Billy Conigliaro,,https://www.baseball-almanac.com/players/player.php?p=conigbi01,,167
Billy Cowan,,https://www.baseball-almanac.com/players/player.php?p=cowanbi01,,168
Billy Grabarkewitz,Rookie Card,https://www.baseball-almanac.com/players/player.php?p=grababi01,,169
Billy Harris,,https://www.baseball-almanac.com/players/player.php?p=harribi04,,170
Billy Hatcher,,https://www.baseball-almanac.com/players/player.php?p=hatchbi01,,171
Billy Jo Robidoux,,https://www.baseball-almanac.com/players/player.php?p=robidbi01,,172
Billy Lee,,https://www.baseball-almanac.com/players/player.php?p=leebi01,,173
Billy Martin,,https://www.baseball-almanac.com/players/player.php?p=martibi02,,174
Billy McCool,,https://www.baseball-almanac.com/players/player.php?p=mccoobi01,,175
Billy Ripken,,https://www.baseball-almanac.com/players/player.php?p=ripkebi01,,176
Billy Sample,,https://www.baseball-almanac.com/players/player.php?p=samplbi01,,177
Billy Smith,Rookie Card,https://www.baseball-almanac.com/players/player.php?p=smithbi03,DUP,178
Billy Smith,,https://www.baseball-almanac.com/players/player.php?p=smithbi05,DUP,179
Billy Sorrell,,https://www.baseball-almanac.com/players/player.php?p=sorrebi01,,180
Billy Williams,,https://www.baseball-almanac.com/players/player.php?p=willibi01,,181
Billy Wynne,Rookie Card,https://www.baseball-almanac.com/players/player.php?p=wynnebi02,,182
Bip Roberts,Rookie Card,https://www.baseball-almanac.com/players/player.php?p=roberbi01,,183
Blue Moon Odom,,https://www.baseball-almanac.com/players/player.php?p=odombl01,,184
Bo Diaz,,https://www.baseball-almanac.com/players/player.php?p=diazbo01,,185
Bo Jackson,Rookie Card,https://www.baseball-almanac.com/players/player.php?p=jacksbo01,,186
Bo McLaughlin,Rookie Card,https://www.baseball-almanac.com/players/player.php?p=mclaubo01,,187
Bob Allietta,Rookie Card,https://www.baseball-almanac.com/players/player.php?p=alliebo01,,188
Bob Allison,,https://www.baseball-almanac.com/players/player.php?p=allisbo01,,189
Bob Apodaca,,https://www.baseball-almanac.com/players/player.php?p=apodabo01,,190
Bob Aspromonte,,https://www.baseball-almanac.com/players/player.php?p=asprobo01,,191
Bob Babcock,,https://www.baseball-almanac.com/players/player.php?p=babcobo01,,192
Bob Bailey,,https://www.baseball-almanac.com/players/player.php?p=bailebo01,,193
Bob Bailor,,https://www.baseball-almanac.com/players/player.php?p=bailobo01,,194
Bob Barton,,https://www.baseball-almanac.com/players/player.php?p=bartobo01,,195
Bob Beall,Rookie Card,https://www.baseball-almanac.com/players/player.php?p=beallbo01,,196
Bob Boone,,https://www.baseball-almanac.com/players/player.php?p=boonebo01,,197
Bob Brenly,,https://www.baseball-almanac.com/players/player.php?p=brenlbo01,,198
Bob Brower,,https://www.baseball-almanac.com/players/player.php?p=browebo01,,199
Bob Burda,,https://www.baseball-almanac.com/players/player.php?p=burdabo01,,200
Bob Christian,,https://www.baseball-almanac.com/players/player.php?p=chrisbo01,,201
Bob Coluccio,Rookie Card,https://www.baseball-almanac.com/players/player.php?p=colucbo01,,202
Bob Davis,Rookie Card,https://www.baseball-almanac.com/players/player.php?p=davisbo02,DUP,203
Bob Davis,,https://www.baseball-almanac.com/players/player.php?p=davisbo01,DUP,204
Bob Dernier,,https://www.baseball-almanac.com/players/player.php?p=dernibo01,,205
Bob Didier,,https://www.baseball-almanac.com/players/player.php?p=didiebo01,,206
Bob Forsch,Rookie Card,https://www.baseball-almanac.com/players/player.php?p=forscbo01,,207
Bob Galasso,Rookie Card,https://www.baseball-almanac.com/players/player.php?p=galasbo01,,208
Bob Gallagher,Rookie Card,https://www.baseball-almanac.com/players/player.php?p=gallabo01,,209
Bob Garibaldi,Rookie Card,https://www.baseball-almanac.com/players/player.php?p=garibbo01,,210
Bob Gibson,,https://www.baseball-almanac.com/players/player.php?p=gibsobo01,DUP,211
Bob Gibson,,https://www.baseball-almanac.com/players/player.php?p=gibsobo02,DUP,212
Bob Gorinski,Rookie Card,https://www.baseball-almanac.com/players/player.php?p=gorinbo01,,213
Bob Hansen,Rookie Card,https://www.baseball-almanac.com/players/player.php?p=hansebo01,,214
Bob Heise,Rookie Card,https://www.baseball-almanac.com/players/player.php?p=heisebo01,,215
Bob Horner,Rookie Card,https://www.baseball-almanac.com/players/player.php?p=hornebo01,,216
Bob Humphreys,,https://www.baseball-almanac.com/players/player.php?p=humphbo01,,217
Bob James,,https://www.baseball-almanac.com/players/player.php?p=jamesbo01,,218
Bob Johnson,,https://www.baseball-almanac.com/players/player.php?p=johnsbo02,DUP,219
Bob Johnson,,https://www.baseball-almanac.com/players/player.php?p=johnsbo01,DUP,220
Bob Johnson,,https://www.baseball-almanac.com/players/player.php?p=johnsbo03,DUP,221
Bob Johnson,Bobby Johnson on Card,https://www.baseball-almanac.com/players/player.php?p=johnsbo04,DUP,222
