bills_card_cert,bills_card_spec,bills_card_num,bills_card_year,bills_card_psa_desc,bills_card_grade,bills_card_pop,bills_card_pop_higher,bills_card_stat_year,bills_card_player_id
25087393,101727230,723,1972,AL SANTORINI,8,90,29,1971,23
30822987,101722150,215,1972,ALEX JOHNSON,8,180,115,1971,41
16268864,101720100,10,1972,AMOS OTIS,8,167,106,1971,52
25520667,101720260,26,1972,ANDY ETCHEBARREN,8,148,71,1971,62
16241263,101723760,376,1972,ANDY KOSCO,8,120,89,1971,65
40083700,101721600,160,1972,ANDY MESSERSMITH,9,88,13,1971,67
25520707,101724580,458,1972,AURELIO MONTEAGUDO,8,113,79,1971,79
81501104,101723190,319,1972,AURELIO RODRIGUEZ,8,105,77,1971,80
12274965,101720620,62,1972,ANGEL MANGUAL,8,137,94,1971,72
14344532,101726720,672,1972,ARCHIE REYNOLDS,8,105,49,1971,74
24907348,101723530,353,1972,ART SHAMSKY,8,137,100,1971,76
25192216,101724530,453,1972,BARRY LERSH,8,94,49,1971,92
30989942,101721260,126,1972,BART JOHNSON,9,77,4,1971,95
25339768,101727610,761,1972,MAJOR LEAGUE ROOKIES,8,304,121,1971,98
19451676,101726440,644,1972,BERNIE ALLEN,8,155,86,1971,102
11499399,101724630,463,1972,BERNIE CARBO,8,92,54,1971,103
16826858,101725150,515,1972,BERT BLYLEVEN,8,234,94,1971,105
90317170,101720750,75,1972,BERT CAMPANERIS,8,152,62,1971,106
21602851,101720290,29,1972,"BILL BONHAM GREEN UNDER ""C"" AND ""S""",8,57,11,1971,112
31270636,101720291,29,1972,"BILL BONHAM YELLOW UNDER ""C"" AND ""S""",8,129,79,1971,112
25520682,101721140,114,1972,BILL BUCKNER,8,125,67,1971,113
21691829,101721200,120,1972,BILL FREEHAN,9,56,9,1971,124
90377523,101725990,599,1972,BILLY CHAMPION,9,68,16,1971,119
14518796,101724240,424,1972,BILL GOGOLEWSKI,9,108,11,1971,126
81636388,101723350,335,1972,BILL HANDS,9,121,21,1971,129
23478484,101724950,495,1972,BILL MELTON,8,82,64,1971,139
90572018,101721830,183,1972,BILL MELTON,8,140,89,1971,139
25520674,101721840,184,1972,BILL MELTON IA,9,52,5,1971,139
25520734,101726360,636,1972,BILL LEE,9,53,3,1971,135
30218552,101727600,760,1972,BILL MAZEROSKI,8,221,97,1971,138
30131989,101722810,281,1972,BILL PARSONS,9,127,21,1971,143
15058247,101723890,389,1972,BILL RIGNEY,9,151,18,1971,146
11116861,101727360,736,1972,BILL RUSSELL,8,216,160,1971,148
20040327,101720250,25,1972,BILL SINGER,8,163,82,1971,152
31594074,101726100,610,1972,BILL STONEMAN,9,191,39,1971,154
17641763,101727220,722,1972,BILL SUDAKIS,9,75,5,1971,155
21221693,101726610,661,1972,BILL VIRDON,9,46,4,1971,159
20219280,101727760,776,1972,BILL VOSS,8,145,48,1971,160
15458639,101725870,587,1972,BILLY WILSON,9,92,19,1971,163
30870587,101724810,481,1972,BILLY CONIGLIARO,8,186,121,1971,167
31024540,101725780,578,1972,BILLY GRABARKEWITZ,9,118,9,1971,170
25520666,101720190,19,1972,BILLY COWAN,8,147,105,1971,168
16421484,101720330,33,1972,BILLY MARTIN,8,180,50,1971,176
17217406,101720340,34,1972,BILLY MARTIN IA,8,179,56,1971,176
19769842,101724390,439,1972,BILLY WILLIAMS,8,219,101,1971,182
25520703,101724400,440,1972,BILLY WILLIAMS IA,8,164,137,1971,182
25520743,101726590,659,1972,BOB ASPROMONTE,8,122,87,1971,192
21746652,101725570,557,1972,JOHN ODOM,8,76,95,1971,185
19256542,101725580,558,1972,JOHN ODOM IA,8,184,79,1971,185
19961284,101720390,39,1972,BOB BARTON,8.5,6,55,1971,196
90347369,101720400,40,1972,BOB BARTON IA,8,66,19,1971,196
23279992,101727340,734,1972,BOB BURDA,8,106,33,1971,201
9014494,101721300,130,1972,BOB GIBSON,8,331,85,1971,211
40083894,101725260,526,1972,BOB BAILEY,8,120,54,1971,194
24759717,101724930,493,1972,BOB BAILEY,8,70,72,1971,194
19447945,101724020,402,1972,BOBBY HEISE,8,102,54,1971,214
11731263,101720270,27,1972,BOB JOHNSON,9,60,7,1971,218
2229102,101724490,449,1972,BOB LEMON,8,115,56,1971,225
11050874,101725370,537,1972,BOB LOCKER,8,91,69,1971,227
21455921,101724140,414,1972,BOB MILLER,8,124,50,1971,233
15150725,101724110,411,1972,BOB MONTGOMERY,8,89,52,1971,235
6349791,101726470,647,1972,BOB MOOSE,8,151,87,1971,236
14344585,101720570,57,1972,BOB OLIVER,8,158,78,1971,239
81612469,101724290,429,1972,BOB ROBERTSON,8,111,50,1971,246
22719491,101724300,430,1972,BOB ROBERTSON IA,8,124,97,1971,246
19603479,101727290,729,1972,BOB VEALE,9,128,11,1971,258
24806764,101723550,355,1972,BOB WATSON,8,128,94,1971,260
16062405,101722660,266,1972,BOBBY BOLIN,8,200,141,1971,262
30421153,101727110,711,1972,BOBBY BONDS,8,301,205,1971,263
2069717,101727120,712,1972,BOBBY BONDS IA,8,204,108,1971,263
11403987,101722730,273,1972,BOBBY FLOYD,8,105,136,1971,271
20824759,101723380,338,1972,BOB GRICH,9,98,7,1971,272
