card_year,card_num,card_stat_year,card_desc,card_notes,card_player_id
1977,166,1976,Bill Campbell,,115
1978,545,1977,Bill Campbell,,115
1979,375,1978,Bill Campbell,,115
1980,15,1979,Bill Campbell,,115
1982,619,1981,Bill Campbell,,115
1983,436,1982,Bill Campbell,,115
1984,787,1983,Bill Campbell,,115
1985,209,1984,Bill Campbell,,115
1986,112,1985,Bill Campbell,,115
1987,674,1986,Bill Campbell,,115
1976,293,1975,Bill Castro,,116
1977,528,1976,Bill Castro,,116
1978,448,1977,Bill Castro,,116
1979,133,1978,Bill Castro,,116
1980,303,1979,Bill Castro,,116
1981,271,1980,Bill Castro,,116
1980,103,1979,Bill Caudill,Rookie Card,117
1981,574,1980,Bill Caudill,,117
1982,303,1981,Bill Caudill,,117
1983,78,1982,Bill Caudill,,117
1984,769,1983,Bill Caudill,,117
1985,685,1984,Bill Caudill,,117
1986,435,1985,Bill Caudill,,117
1987,733,1986,Bill Caudill,,117
1970,149,1969,Bill Champion,,118
1971,323,1970,Bill Champion,,118
1972,599,1971,Bill Champion,,118
1973,599,1972,Bill Champion,,118
1974,391,1973,Bill Champion,,118
1975,256,1974,Bill Champion,,118
1976,501,1975,Bill Champion,,118
1984,248,1983,Bill Dawley,,119
1985,634,1984,Bill Dawley,,119
1986,376,1985,Bill Dawley,,119
1987,54,1986,Bill Dawley,,119
1988,509,1987,Bill Dawley,,119
1970,386,1969,Bill Dillman,,120
1984,198,1983,Bill Doran,,121
1985,684,1984,Bill Doran,,122
1986,57,1985,Bill Doran,,122
1987,472,1986,Bill Doran,,122
1988,745,1987,Bill Doran,,121
1989,226,1988,Bill Doran,,121
1974,558,1973,Bill Fahey,,123
1975,644,1974,Bill Fahey,,123
1976,436,1975,Bill Fahey,,123
1977,511,1976,Bill Fahey,,123
1978,388,1977,Bill Fahey,,123
1980,44,1979,Bill Fahey,,123
1981,653,1980,Bill Fahey,,123
1982,286,1981,Bill Fahey,,123
1983,196,1982,Bill Fahey,,123
1970,335,1969,Bill Freehan,,124
1970,465,1969,Bill Freehan,All-Star Card,124
1971,575,1970,Bill Freehan,,124
1972,120,1971,Bill Freehan,,124
1973,120,1972,Bill Freehan,,124
1974,162,1973,Bill Freehan,,124
1975,397,1974,Bill Freehan,,124
1976,540,1975,Bill Freehan,,124
1977,22,1976,Bill Freehan,,124
1984,771,1983,Bill Gardner,,125
1972,424,1971,Bill Gogolewski,,126
1973,424,1972,Bill Gogolewski,,126
1974,242,1973,Bill Gogolewski,,126
1974,102,1973,Bill Greif,,127
1975,168,1974,Bill Greif,,127
1976,184,1975,Bill Greif,,127
1977,112,1976,Bill Greif,,127
